cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien,day
95.83,Cielo cubierto,6,Este,79.21,20220530T00,20,290,17.7829,-98.1426,2,Oaxaca,San Nicolás Hidalgo,0.34,0.0,21.24,29.23,17.92,7.88,2022-05-30
88.93,Cielo cubierto,6,Sur,167.84,20220531T00,20,290,17.7829,-98.1426,3,Oaxaca,San Nicolás Hidalgo,0.74,80.0,16.58,27.03,15.25,5.19,2022-05-31
95.69,Cielo cubierto,6,Noreste,64.49,20220528T00,20,295,16.8267,-96.781,0,Oaxaca,San Pablo Huixtepec,0.24,0.0,14.54,22.8,14.42,6.2,2022-05-28
95.83,Cielo cubierto,6,Este,105.1,20220529T00,20,295,16.8267,-96.781,1,Oaxaca,San Pablo Huixtepec,3.25,95.0,15.38,25.17,14.5,6.65,2022-05-29
95.83,Cielo cubierto,6,Sureste,154.87,20220530T00,20,295,16.8267,-96.781,2,Oaxaca,San Pablo Huixtepec,24.71,95.0,36.97,20.41,14.53,7.92,2022-05-30
91.66,Cielo cubierto,6,Sur,168.99,20220531T00,20,295,16.8267,-96.781,3,Oaxaca,San Pablo Huixtepec,3.62,95.0,9.59,20.82,13.76,4.01,2022-05-31
95.83,Cielo cubierto,6,Sureste,119.52,20220528T00,20,299,17.1461,-96.2296,0,Oaxaca,San Pablo Yaganiza,2.69,95.0,11.58,18.41,13.86,5.21,2022-05-28
95.83,Cielo cubierto,6,Este,103.75,20220529T00,20,299,17.1461,-96.2296,1,Oaxaca,San Pablo Yaganiza,8.79,95.0,9.13,20.15,14.37,4.36,2022-05-29
95.83,Cielo cubierto,6,Este,98.31,20220530T00,20,299,17.1461,-96.2296,2,Oaxaca,San Pablo Yaganiza,62.52,95.0,22.31,16.4,13.88,6.92,2022-05-30
91.67,Cielo cubierto,6,Sur,170.81,20220531T00,20,299,17.1461,-96.2296,3,Oaxaca,San Pablo Yaganiza,7.75,95.0,8.54,16.68,14.01,3.62,2022-05-31
95.72,Cielo cubierto,6,Noreste,30.8,20220528T00,20,301,16.7351,-96.726,0,Oaxaca,San Pedro Apóstol,0.19,0.0,15.9,23.4,14.8,6.5,2022-05-28
95.83,Cielo cubierto,6,Este,99.75,20220529T00,20,301,16.7351,-96.726,1,Oaxaca,San Pedro Apóstol,3.67,95.0,15.8,25.3,14.9,6.27,2022-05-29
95.83,Cielo cubierto,6,Sureste,134.21,20220530T00,20,301,16.7351,-96.726,2,Oaxaca,San Pedro Apóstol,34.56,95.0,37.5,20.8,15.0,7.89,2022-05-30
91.67,Cielo cubierto,6,Sureste,144.88,20220531T00,20,301,16.7351,-96.726,3,Oaxaca,San Pedro Apóstol,6.23,95.0,9.9,21.6,14.3,3.83,2022-05-31
95.83,Cielo cubierto,6,Sureste,119.52,20220528T00,20,303,17.1687,-96.2606,0,Oaxaca,San Pedro Cajonos,2.69,95.0,11.58,18.41,13.86,5.21,2022-05-28
95.83,Cielo cubierto,6,Este,103.75,20220529T00,20,303,17.1687,-96.2606,1,Oaxaca,San Pedro Cajonos,8.79,95.0,9.13,20.15,14.37,4.36,2022-05-29
95.83,Cielo cubierto,6,Este,98.31,20220530T00,20,303,17.1687,-96.2606,2,Oaxaca,San Pedro Cajonos,62.52,95.0,22.31,16.4,13.88,6.92,2022-05-30
91.67,Cielo cubierto,6,Sur,170.81,20220531T00,20,303,17.1687,-96.2606,3,Oaxaca,San Pedro Cajonos,7.75,95.0,8.54,16.68,14.01,3.62,2022-05-31
92.51,Cielo cubierto,6,Este,95.17,20220528T00,20,322,18.1849,-96.9132,0,Oaxaca,San Pedro Ocopetatillo,7.63,95.0,16.32,25.12,15.69,6.14,2022-05-28
95.41,Cielo cubierto,6,Este,101.19,20220529T00,20,322,18.1849,-96.9132,1,Oaxaca,San Pedro Ocopetatillo,2.3,95.0,11.49,25.32,17.62,5.27,2022-05-29
95.83,Cielo cubierto,6,Este,94.22,20220530T00,20,322,18.1849,-96.9132,2,Oaxaca,San Pedro Ocopetatillo,17.95,95.0,9.41,20.41,16.75,4.16,2022-05-30
91.37,Cielo cubierto,6,Sureste,150.58,20220531T00,20,322,18.1849,-96.9132,3,Oaxaca,San Pedro Ocopetatillo,6.91,95.0,8.49,18.98,16.34,3.5,2022-05-31
93.75,Cielo cubierto,6,Este,78.13,20220528T00,20,341,17.561,-97.4826,0,Oaxaca,San Pedro Yucunama,1.13,95.0,29.76,23.22,9.37,13.81,2022-05-28
95.58,Cielo cubierto,6,Este,91.91,20220529T00,20,341,17.561,-97.4826,1,Oaxaca,San Pedro Yucunama,6.28,95.0,14.65,24.0,11.94,7.94,2022-05-29
95.83,Cielo cubierto,6,Noreste,60.07,20220530T00,20,341,17.561,-97.4826,2,Oaxaca,San Pedro Yucunama,4.7,95.0,26.55,19.79,11.36,7.51,2022-05-30
